,,zoo,heart,lymp,apb,tumor_w_missing,hepatitis_w_missing,audio_w_missing,votes_w_missing
k=2,CIP_obj,271,1187,1184,776,1352,1344,1419,1246
k=2,CIP_dual,271,421.5,156,83.875,543.5,167.125,257.8333333,1010.666667
k=2,CIP_time,15.56122184,1200.645225,1200.73939,1201.333135,1200.867642,1200.651918,1202.364601,1200.732424
k=2,CIP_gap,0,64.4903117,86.8243243,89.191366,59.80029586,87.56510417,81.82992718,18.8871054
k=2,CIP_error,271,1187,1184,776,1352,1344,1419,1246
k=5,CIP_obj,129,738,1026,688,993,1229,1078,853
k=5,CIP_dual,48,0,0,0,0,0,0,0
k=5,CIP_time,1204.654931,1201.178489,1201.873944,1203.76913,1201.904988,1201.448488,1205.756671,1202.114062
k=5,CIP_gap,62.7906977,100,100,100,100,100,100,100
k=5,CIP_error,129,738,1026,688,993,1229,1078,853
k=10,CIP_obj,72,529,829,605,632,1048,881,701
k=10,CIP_dual,0,0,0,0,0,0,0,0
k=10,CIP_time,1200.559538,1202.824979,1207.436851,1206.022512,1204.248564,1203.648624,1209.3207,1205.286391
k=10,CIP_gap,100,100,100,100,100,100,100,100
k=10,CIP_error,72,529,829,605,632,1048,881,701